Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth3,1,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32432 0x0014
s1-eth3,2,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32433 → 80 0x0002
s1-eth3,3,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32433 0x0014
s1-eth3,4,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32434 → 80 0x0002
s1-eth3,5,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32434 0x0014
s1-eth1,1,2024-09-04 05:59:27.068,192.168.1.10,192.168.1.77,TCP,54,80 → 35618 0x0014
s1-eth1,2,2024-09-04 05:59:27.068,192.168.1.77,192.168.1.10,TCP,54,35619 → 80 0x0002
s1-eth3,6,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32435 → 80 0x0002
s1-eth1,3,2024-09-04 05:59:27.068,192.168.1.10,192.168.1.77,TCP,54,80 → 35619 0x0014
s1-eth3,7,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32435 0x0014
s1-eth3,8,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32436 → 80 0x0002
s1-eth3,9,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32436 0x0014
s1-eth3,10,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32437 → 80 0x0002
s1-eth3,11,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32437 0x0014
s1-eth3,12,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32438 → 80 0x0002
s1-eth3,13,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32438 0x0014
s1-eth2,1,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34954 → 80 0x0002
s1-eth2,2,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34954 0x0014
s1-eth1,4,2024-09-04 05:59:27.068,192.168.1.77,192.168.1.10,TCP,54,35620 → 80 0x0002
s1-eth1,5,2024-09-04 05:59:27.068,192.168.1.10,192.168.1.77,TCP,54,80 → 35620 0x0014
s1-eth3,14,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32439 → 80 0x0002
s1-eth3,15,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32439 0x0014
s1-eth3,16,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32440 → 80 0x0002
s1-eth3,17,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32440 0x0014
s1-eth3,18,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32441 → 80 0x0002
