Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth2,1,2024-09-05 02:00:32.710,192.168.1.10,192.168.1.30,TCP,74,35178 → 44818 0x0002
s1-eth1,1,2024-09-05 02:00:32.710,192.168.1.10,192.168.1.30,TCP,74,35178 → 44818 0x0002
s1-eth2,2,2024-09-05 02:00:32.710,192.168.1.30,192.168.1.10,TCP,74,44818 → 35178 0x0012
s1-eth1,2,2024-09-05 02:00:32.710,192.168.1.30,192.168.1.10,TCP,74,44818 → 35178 0x0012
s1-eth1,3,2024-09-05 02:00:32.710,192.168.1.10,192.168.1.30,TCP,66,35178 → 44818 0x0010
s1-eth2,3,2024-09-05 02:00:32.710,192.168.1.10,192.168.1.30,TCP,66,35178 → 44818 0x0010
s1-eth1,4,2024-09-05 02:00:32.750,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth2,4,2024-09-05 02:00:32.750,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,1,2024-09-05 02:00:32.710,192.168.1.10,192.168.1.30,TCP,74,35178 → 44818 0x0002
s1-eth2,5,2024-09-05 02:00:32.750,192.168.1.30,192.168.1.10,TCP,66,44818 → 35178 0x0010
s1-eth3,2,2024-09-05 02:00:32.710,192.168.1.30,192.168.1.10,TCP,74,44818 → 35178 0x0012
s1-eth3,3,2024-09-05 02:00:32.710,192.168.1.10,192.168.1.30,TCP,66,35178 → 44818 0x0010
s1-eth3,4,2024-09-05 02:00:32.750,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,5,2024-09-05 02:00:32.750,192.168.1.30,192.168.1.10,TCP,66,44818 → 35178 0x0010
s1-eth1,5,2024-09-05 02:00:32.750,192.168.1.30,192.168.1.10,TCP,66,44818 → 35178 0x0010
s1-eth1,6,2024-09-05 02:00:32.755,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,6,2024-09-05 02:00:32.755,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,7,2024-09-05 02:00:32.755,192.168.1.10,192.168.1.30,TCP,66,35178 → 44818 0x0010
s1-eth2,7,2024-09-05 02:00:32.755,192.168.1.10,192.168.1.30,TCP,66,35178 → 44818 0x0010
s1-eth1,8,2024-09-05 02:00:32.757,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,6,2024-09-05 02:00:32.755,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth3,7,2024-09-05 02:00:32.755,192.168.1.10,192.168.1.30,TCP,66,35178 → 44818 0x0010
s1-eth2,8,2024-09-05 02:00:32.757,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,8,2024-09-05 02:00:32.757,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,9,2024-09-05 02:00:32.766,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,9,2024-09-05 02:00:32.766,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth2,9,2024-09-05 02:00:32.766,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,10,2024-09-05 02:00:32.773,192.168.1.10,192.168.1.30,TCP,66,35178 → 44818 0x0011
s1-eth2,10,2024-09-05 02:00:32.773,192.168.1.10,192.168.1.30,TCP,66,35178 → 44818 0x0011
s1-eth1,11,2024-09-05 02:00:32.773,192.168.1.30,192.168.1.10,TCP,66,44818 → 35178 0x0011
s1-eth3,10,2024-09-05 02:00:32.773,192.168.1.10,192.168.1.30,TCP,66,35178 → 44818 0x0011
s1-eth3,11,2024-09-05 02:00:32.773,192.168.1.30,192.168.1.10,TCP,66,44818 → 35178 0x0011
s1-eth2,11,2024-09-05 02:00:32.773,192.168.1.30,192.168.1.10,TCP,66,44818 → 35178 0x0011
s1-eth1,12,2024-09-05 02:00:32.773,192.168.1.10,192.168.1.30,TCP,66,35178 → 44818 0x0010
s1-eth2,12,2024-09-05 02:00:32.773,192.168.1.10,192.168.1.30,TCP,66,35178 → 44818 0x0010
s1-eth3,12,2024-09-05 02:00:32.773,192.168.1.10,192.168.1.30,TCP,66,35178 → 44818 0x0010
s1-eth1,13,2024-09-05 02:00:32.971,fe80::a8aa:aaff:feaa:aaaa,ff02::2,ICMPV6,70,ICMPV6
s1-eth2,13,2024-09-05 02:00:32.971,fe80::a8aa:aaff:feaa:aaaa,ff02::2,ICMPV6,70,ICMPV6
s1-eth3,13,2024-09-05 02:00:32.971,fe80::a8aa:aaff:feaa:aaaa,ff02::2,ICMPV6,70,ICMPV6
s1-eth2,14,2024-09-05 02:00:33.597,192.168.1.10,192.168.1.20,TCP,74,57512 → 44818 0x0002
s1-eth1,14,2024-09-05 02:00:33.597,192.168.1.10,192.168.1.20,TCP,74,57512 → 44818 0x0002
s1-eth3,14,2024-09-05 02:00:33.597,192.168.1.10,192.168.1.20,TCP,74,57512 → 44818 0x0002
s1-eth2,15,2024-09-05 02:00:33.597,192.168.1.20,192.168.1.10,TCP,74,44818 → 57512 0x0012
s1-eth2,16,2024-09-05 02:00:33.597,192.168.1.10,192.168.1.20,TCP,66,57512 → 44818 0x0010
s1-eth2,17,2024-09-05 02:00:33.627,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth1,15,2024-09-05 02:00:33.597,192.168.1.20,192.168.1.10,TCP,74,44818 → 57512 0x0012
s1-eth3,15,2024-09-05 02:00:33.597,192.168.1.20,192.168.1.10,TCP,74,44818 → 57512 0x0012
s1-eth2,18,2024-09-05 02:00:33.627,192.168.1.20,192.168.1.10,TCP,66,44818 → 57512 0x0010
s1-eth1,16,2024-09-05 02:00:33.597,192.168.1.10,192.168.1.20,TCP,66,57512 → 44818 0x0010
s1-eth3,16,2024-09-05 02:00:33.597,192.168.1.10,192.168.1.20,TCP,66,57512 → 44818 0x0010
s1-eth1,17,2024-09-05 02:00:33.627,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth3,17,2024-09-05 02:00:33.627,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth1,18,2024-09-05 02:00:33.627,192.168.1.20,192.168.1.10,TCP,66,44818 → 57512 0x0010
s1-eth3,18,2024-09-05 02:00:33.627,192.168.1.20,192.168.1.10,TCP,66,44818 → 57512 0x0010
s1-eth2,19,2024-09-05 02:00:33.630,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,19,2024-09-05 02:00:33.630,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
