"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.10","192.168.1.20","TCP","74","54370  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1450081013 TSecr=0 WS=512"
"2","0.000019267","192.168.1.20","192.168.1.10","TCP","74","44818  >  54370 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524448501 TSecr=1450081013 WS=512"
"3","0.000030433","192.168.1.10","192.168.1.20","TCP","66","54370  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1450081013 TSecr=524448501"
"4","0.025946207","192.168.1.10","192.168.1.20","ENIP","94","Register Session (Req), Session: 0x00000000"
"5","0.025959652","192.168.1.20","192.168.1.10","TCP","66","44818  >  54370 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=524448527 TSecr=1450081039"
"6","0.029065279","192.168.1.20","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0x4C21D9EA"
"7","0.029092356","192.168.1.10","192.168.1.20","TCP","66","54370  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=1450081042 TSecr=524448530"
"8","0.030272206","192.168.1.10","192.168.1.20","CIP CM","134","Unconnected Send: 'FIT201:2' - Service (0x4c)"
"9","0.042280078","192.168.1.20","192.168.1.10","CIP","116","Success: 'FIT201:2' - Service (0x4c)"
"10","0.045471836","192.168.1.10","192.168.1.20","TCP","66","54370  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=1450081058 TSecr=524448543"
"11","0.045996582","192.168.1.20","192.168.1.10","TCP","66","44818  >  54370 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=524448547 TSecr=1450081058"
"12","0.046022100","192.168.1.10","192.168.1.20","TCP","66","54370  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=1450081059 TSecr=524448547"
"13","1.131308567","192.168.1.10","192.168.1.20","TCP","74","54382  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1450082144 TSecr=0 WS=512"
"14","1.131327099","192.168.1.20","192.168.1.10","TCP","74","44818  >  54382 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524449632 TSecr=1450082144 WS=512"
